hp:0000001	all	all
hp:0001785	ankle swelling	ankle swelling
hp:0001785	ankle swelling	ankle swelling
hp:0001786	narrow foot	narrow foot
hp:0001786	narrow foot	narrow foot
hp:0001786	narrow foot	slender feet
hp:0001787	abnormal delivery	abnormal delivery
hp:0001787	abnormal delivery	abnormal delivery
hp:0001787	abnormal delivery	delivery complication
hp:0001788	premature rupture of membranes	premature rupture of membranes
hp:0001789	hydrops fetalis	hydrops fetalis
hp:0001790	nonimmune hydrops fetalis	nonimmune hydrops fetalis
hp:0001790	nonimmune hydrops fetalis	hydrops fetalis, non-immune
hp:0001790	nonimmune hydrops fetalis	hydrops fetalis, nonimmune
hp:0001790	nonimmune hydrops fetalis	non-immune fetal hydrops
hp:0001790	nonimmune hydrops fetalis	nonimmune hydrops
hp:0001791	fetal ascites	fetal ascites
hp:0001792	small nail	small nail
hp:0001792	small nail	hypoplastic nail
hp:0001792	small nail	hypoplastic nails
hp:0001792	small nail	nail hypoplasia
hp:0001792	small nail	small nail
hp:0001792	small nail	small nails
hp:0001795	hyperconvex nail	hyperconvex nail
hp:0001795	hyperconvex nail	nail overcurvature
hp:0001798	anonychia	anonychia
hp:0001798	anonychia	absent nails
hp:0001798	anonychia	aplastic nails
hp:0001799	short nail	short nail
hp:0001799	short nail	short nail
hp:0001799	short nail	short nails
hp:0001800	hypoplastic toenails	hypoplastic toenails
hp:0001800	hypoplastic toenails	underdeveloped toenails
hp:0001802	absent toenail	absent toenail
hp:0001802	absent toenail	absent toenail
hp:0001803	nail pits	nail pits
hp:0001803	nail pits	nail pits
hp:0001803	nail pits	nail pitting
hp:0001803	nail pits	pitted nails
hp:0001804	hypoplastic fingernail	hypoplastic fingernail
hp:0001804	hypoplastic fingernail	underdeveloped fingernail
hp:0001804	hypoplastic fingernail	small fingernail
hp:0001805	thick nail	thick nail
hp:0001805	thick nail	dystrophic thickened nails
hp:0001805	thick nail	onychogryposis
hp:0001805	thick nail	thickened nails
hp:0001806	onycholysis	onycholysis
hp:0001806	onycholysis	oncholysis
hp:0001806	onycholysis	detachment of nail
hp:0001807	ridged nail	ridged nail
hp:0001807	ridged nail	grooved nails
hp:0001807	ridged nail	longitudinal ridging
hp:0001807	ridged nail	nail ridging
hp:0001808	fragile nails	fragile nails
hp:0001808	fragile nails	brittle nails
hp:0001809	split nail	split nail
hp:0001809	split nail	longitudinal splitting of nail
hp:0001810	dystrophic toenail	dystrophic toenail
hp:0001810	dystrophic toenail	dystrophic toenail changes
hp:0001810	dystrophic toenail	poor toenail formation
hp:0001812	hyperconvex fingernails	hyperconvex fingernails
hp:0001812	hyperconvex fingernails	tubular fingernails
hp:0001814	deep-set nails	deep-set nails
hp:0001814	deep-set nails	deep-set nails
hp:0001816	thin nail	thin nail
hp:0001816	thin nail	thin nail
hp:0001816	thin nail	thin nails
hp:0001817	absent fingernail	absent fingernail
hp:0001817	absent fingernail	absent fingernail
hp:0001817	absent fingernail	aplasia of the fingernail
hp:0001818	paronychia	paronychia
hp:0001820	leukonychia	leukonychia
hp:0001820	leukonychia	white discoloration of nails
hp:0001821	broad nail	broad nail
hp:0001821	broad nail	broad fingernails
hp:0001821	broad nail	broad nail
hp:0001821	broad nail	wide fingernails
hp:0001822	hallux valgus	hallux valgus
hp:0001822	hallux valgus	lateral deviation of great toe
hp:0001822	hallux valgus	lateral deviation of halluces
hp:0001822	hallux valgus	bunion
hp:0001824	weight loss	weight loss
hp:0001827	genital tract atresia	genital tract atresia
hp:0001829	foot polydactyly	foot polydactyly
hp:0001829	foot polydactyly	duplication of bones of the toes
hp:0001829	foot polydactyly	polydactyly of feet
hp:0001829	foot polydactyly	polydactyly of the foot
hp:0001830	postaxial foot polydactyly	postaxial foot polydactyly
hp:0001830	postaxial foot polydactyly	polydactyly affecting the 5th toe
hp:0001830	postaxial foot polydactyly	postaxial polydactyly of feet
hp:0001830	postaxial foot polydactyly	postaxial polydactyly of foot
hp:0001830	postaxial foot polydactyly	posterior polydactyly of foot
hp:0001830	postaxial foot polydactyly	extra toe attached near the little toe
hp:0001831	short toe	short toe
hp:0001831	short toe	brachydactyly of the foot
hp:0001831	short toe	hypoplasia of the toe
hp:0001831	short toe	hypoplastic toes
hp:0001831	short toe	short foot phalanges
hp:0001831	short toe	short toe
hp:0001831	short toe	short toes
hp:0001831	short toe	stubby toes
hp:0001832	abnormal metatarsal morphology	abnormal metatarsal morphology
hp:0001832	abnormal metatarsal morphology	abnormality of the long bone of foot
hp:0001833	long foot	long foot
hp:0001833	long foot	disproportionately large feet
hp:0001833	long foot	long foot
hp:0001833	long foot	large feet
hp:0001833	long foot	long feet
hp:0001836	camptodactyly of toe	camptodactyly of toe
hp:0001836	camptodactyly of toe	camptodactyly of feet
hp:0001837	broad toe	broad toe
hp:0001837	broad toe	broad toe
hp:0001837	broad toe	wide toe
hp:0001838	rocker bottom foot	rocker bottom foot
hp:0001838	rocker bottom foot	congenital vertical talus
hp:0001838	rocker bottom foot	rocker bottom feet
hp:0001838	rocker bottom foot	rocker bottom foot
hp:0001838	rocker bottom foot	rocker-bottom feet
hp:0001838	rocker bottom foot	rockerbottom feet
hp:0001839	split foot	split foot
hp:0001839	split foot	foot ectrodactyly
hp:0001839	split foot	lobster-claw foot deformity
hp:0001839	split foot	split foot
hp:0001839	split foot	split-foot
hp:0001840	metatarsus adductus	metatarsus adductus
hp:0001840	metatarsus adductus	forefoot varus
hp:0001840	metatarsus adductus	metatarsus adductovarsus
hp:0001840	metatarsus adductus	metatarsus varus
hp:0001840	metatarsus adductus	front half of foot turns inward
hp:0001841	preaxial foot polydactyly	preaxial foot polydactyly
hp:0001841	preaxial foot polydactyly	partial/complete duplication of the phalanges of the big toe
hp:0001841	preaxial foot polydactyly	polydactyly affecting the hallux
hp:0001841	preaxial foot polydactyly	preaxial hallucal polydactyly
hp:0001841	preaxial foot polydactyly	preaxial polydactyly of feet
hp:0001841	preaxial foot polydactyly	preaxial polydactyly of foot
hp:0001841	preaxial foot polydactyly	preaxial polydactyly of the feet
hp:0001841	preaxial foot polydactyly	preaxial polydactyly, feet
hp:0001842	foot acroosteolysis	foot acroosteolysis
hp:0001842	foot acroosteolysis	acroosteolysis of feet
hp:0001844	abnormality of the hallux	abnormality of the hallux
hp:0001844	abnormality of the hallux	abnormalities of the hallux
hp:0001844	abnormality of the hallux	abnormality of the big toe
hp:0001845	overlapping toe	overlapping toe
hp:0001845	overlapping toe	overlapping toe
hp:0001845	overlapping toe	overlapping toes
hp:0001845	overlapping toe	overriding toes
hp:0001847	long hallux	long hallux
hp:0001847	long hallux	increased length of the hallux
hp:0001847	long hallux	large halluces
hp:0001847	long hallux	long halluces
hp:0001847	long hallux	long big toe
hp:0001848	calcaneovalgus deformity	calcaneovalgus deformity
hp:0001848	calcaneovalgus deformity	calcaneovalgus
hp:0001848	calcaneovalgus deformity	calcaneovalgus foot
hp:0001848	calcaneovalgus deformity	valgus position of the calcaneus
hp:0001849	foot oligodactyly	foot oligodactyly
hp:0001849	foot oligodactyly	missing toes
hp:0001849	foot oligodactyly	oligodactyly of feet
hp:0001850	abnormality of the tarsal bones	abnormality of the tarsal bones
hp:0001850	abnormality of the tarsal bones	abnormal tarsals
hp:0001850	abnormality of the tarsal bones	abnormal ankle bones
hp:0001852	sandal gap	sandal gap
hp:0001852	sandal gap	gap between 1st and 2nd toes
hp:0001852	sandal gap	gap between first and second toe
hp:0001852	sandal gap	increased space between first and second toes
hp:0001852	sandal gap	sandal gap between first and second toes
hp:0001852	sandal gap	space between great toe and second toe
hp:0001852	sandal gap	wide space between first and second toes
hp:0001852	sandal gap	widely spaced 1st-2nd toes
hp:0001852	sandal gap	widely spaced first and second toes
hp:0001852	sandal gap	widened gap 1st-2nd toes
hp:0001852	sandal gap	widened gap first and second toe
hp:0001852	sandal gap	wide space between 1st, 2nd toes
hp:0001853	bifid distal phalanx of toe	bifid distal phalanx of toe
hp:0001853	bifid distal phalanx of toe	bifid distal phalanges of toes
hp:0001853	bifid distal phalanx of toe	bifid terminal phalanx of toe
hp:0001853	bifid distal phalanx of toe	notched outermost bones of toes
hp:0001854	podagra	podagra
hp:0001854	podagra	gout of big toe
hp:0001857	short distal phalanx of toe	short distal phalanx of toe
hp:0001857	short distal phalanx of toe	hypoplastic distal phalanges of feet
hp:0001857	short distal phalanx of toe	short outermost bone of toe
hp:0001859	distal foot symphalangism	distal foot symphalangism
hp:0001862	obsolete acral ulceration and osteomyelitis leading to autoamputation of the digits (feet)	obsolete acral ulceration and osteomyelitis leading to autoamputation of the digits (feet)
hp:0001863	toe clinodactyly	toe clinodactyly
hp:0001863	toe clinodactyly	clinodactyly of feet
hp:0001864	clinodactyly of the 5th toe	clinodactyly of the 5th toe
hp:0001868	autoamputation of foot	autoamputation of foot
hp:0001869	deep plantar creases	deep plantar creases
hp:0001869	deep plantar creases	deep wrinkles in soles of feet
hp:0001870	acroosteolysis of distal phalanges (feet)	acroosteolysis of distal phalanges (feet)
hp:0001870	acroosteolysis of distal phalanges (feet)	acroosteolysis of distal phalanges of feet
hp:0001871	abnormality of blood and blood-forming tissues	abnormality of blood and blood-forming tissues
hp:0001871	abnormality of blood and blood-forming tissues	abnormality of blood and blood-forming tissues
hp:0001871	abnormality of blood and blood-forming tissues	abnormality of the hematopoietic system
hp:0001871	abnormality of blood and blood-forming tissues	hematological abnormality
hp:0001872	abnormal thrombocyte morphology	abnormal thrombocyte morphology
hp:0001872	abnormal thrombocyte morphology	platelet abnormalities
hp:0001873	thrombocytopenia	thrombocytopenia
hp:0001873	thrombocytopenia	low platelet count
hp:0001874	abnormality of neutrophils	abnormality of neutrophils
hp:0001874	abnormality of neutrophils	abnormality of neutrophils
hp:0001874	abnormality of neutrophils	abnormality of polymorphonuclear neutrophils
hp:0001875	neutropenia	neutropenia
hp:0001875	neutropenia	peripheral neutropenia
hp:0001875	neutropenia	low neutrophil count
hp:0001875	neutropenia	low blood neutrophil count
hp:0001876	pancytopenia	pancytopenia
hp:0001876	pancytopenia	low blood cell count
hp:0001877	abnormal erythrocyte morphology	abnormal erythrocyte morphology
hp:0001877	abnormal erythrocyte morphology	abnormality of red blood cells
hp:0001877	abnormal erythrocyte morphology	abnormality of erythrocytes
hp:0001878	hemolytic anemia	hemolytic anemia
hp:0001878	hemolytic anemia	haemolytic anaemia
hp:0001878	hemolytic anemia	increased hemolysis
hp:0001879	abnormal eosinophil morphology	abnormal eosinophil morphology
hp:0001879	abnormal eosinophil morphology	abnormality of eosinophils
hp:0001880	eosinophilia	eosinophilia
hp:0001880	eosinophilia	high blood eosinophil count
hp:0001881	abnormal leukocyte morphology	abnormal leukocyte morphology
hp:0001881	abnormal leukocyte morphology	abnormal leukocyte function
hp:0001881	abnormal leukocyte morphology	abnormality of leukocytes
hp:0001882	leukopenia	leukopenia
hp:0001882	leukopenia	low white blood cell count
hp:0001882	leukopenia	decreased blood leukocyte number
hp:0001883	talipes	talipes
hp:0001884	talipes calcaneovalgus	talipes calcaneovalgus
hp:0001884	talipes calcaneovalgus	pes calcaneovarus
hp:0001885	short 2nd toe	short 2nd toe
hp:0001885	short 2nd toe	short second toe
hp:0001886	foot osteomyelitis	foot osteomyelitis
hp:0001886	foot osteomyelitis	foot bone infection
hp:0001888	lymphopenia	lymphopenia
hp:0001888	lymphopenia	lymphocytopenia
hp:0001888	lymphopenia	decreased blood lymphocyte number
hp:0001888	lymphopenia	low lymphocyte number
hp:0001889	megaloblastic anemia	megaloblastic anemia
hp:0001890	autoimmune hemolytic anemia	autoimmune hemolytic anemia
hp:0001890	autoimmune hemolytic anemia	autoimmune haemolytic anaemia
hp:0001890	autoimmune hemolytic anemia	hemolytic anemia, autoimmune
hp:0001891	iron deficiency anemia	iron deficiency anemia
hp:0001891	iron deficiency anemia	iron-deficiency anemia
hp:0001891	iron deficiency anemia	ferropenic
hp:0001892	abnormal bleeding	abnormal bleeding
hp:0001892	abnormal bleeding	bleeding diathesis
hp:0001892	abnormal bleeding	bleeding tendency
hp:0001892	abnormal bleeding	hemorrhagic diathesis
hp:0001894	thrombocytosis	thrombocytosis
hp:0001894	thrombocytosis	increased platelet count
hp:0001895	normochromic anemia	normochromic anemia
hp:0001896	reticulocytopenia	reticulocytopenia
hp:0001897	normocytic anemia	normocytic anemia
hp:0001898	increased red blood cell mass	increased red blood cell mass
hp:0001899	increased hematocrit	increased hematocrit
hp:0001900	increased hemoglobin	increased hemoglobin
hp:0001901	polycythemia	polycythemia
hp:0001901	polycythemia	erythrocytosis
hp:0001901	polycythemia	polyglobulia
hp:0001901	polycythemia	abnormally shaped erythrocytes
hp:0001902	giant platelets	giant platelets
hp:0001903	anemia	anemia
hp:0001903	anemia	anaemia
hp:0001903	anemia	low number of red blood cells or hemoglobin
hp:0001904	autoimmune neutropenia	autoimmune neutropenia
hp:0001905	congenital thrombocytopenia	congenital thrombocytopenia
hp:0001905	congenital thrombocytopenia	thrombocytopenia, congenital
hp:0001907	thromboembolism	thromboembolism
hp:0001907	thromboembolism	thromboembolic disease
hp:0001907	thromboembolism	thromboembolic events
hp:0001908	hypoplastic anemia	hypoplastic anemia
hp:0001909	leukemia	leukemia
hp:0001911	abnormal granulocyte morphology	abnormal granulocyte morphology
hp:0001911	abnormal granulocyte morphology	abnormality of neutrophil
hp:0001911	abnormal granulocyte morphology	abnormality of granulocytes
hp:0001912	abnormal basophil morphology	abnormal basophil morphology
hp:0001912	abnormal basophil morphology	abnormality of basophils
hp:0001913	granulocytopenia	granulocytopenia
hp:0001915	aplastic anemia	aplastic anemia
hp:0001917	renal amyloidosis	renal amyloidosis
hp:0001919	acute kidney injury	acute kidney injury
hp:0001919	acute kidney injury	acute renal failure
hp:0001919	acute kidney injury	acute kidney failure
hp:0001920	renal artery stenosis	renal artery stenosis
hp:0001920	renal artery stenosis	narrowing of kidney artery
hp:0001922	vacuolated lymphocytes	vacuolated lymphocytes
hp:0001922	vacuolated lymphocytes	enlarged lysosomal vacuoles in lymphocytes
hp:0001922	vacuolated lymphocytes	vacuolated blood lymphocytes
hp:0001923	reticulocytosis	reticulocytosis
hp:0001923	reticulocytosis	increased reticulocyte count
hp:0001923	reticulocytosis	increased reticulocytes
hp:0001924	sideroblastic anemia	sideroblastic anemia
hp:0001924	sideroblastic anemia	hypersideremic anemia
hp:0001927	acanthocytosis	acanthocytosis
hp:0001927	acanthocytosis	acanthocytes
hp:0001927	acanthocytosis	red cell acanthocytosis
hp:0001928	abnormality of coagulation	abnormality of coagulation
hp:0001928	abnormality of coagulation	abnormal blood coagulation studies
hp:0001928	abnormality of coagulation	coagulation abnormalities
hp:0001928	abnormality of coagulation	coagulation abnormality
hp:0001928	abnormality of coagulation	haemorrhagic disorders
hp:0001928	abnormality of coagulation	abnormal blood clotting
hp:0001929	reduced factor xi activity	reduced factor xi activity
hp:0001929	reduced factor xi activity	low factor xi activity
hp:0001930	nonspherocytic hemolytic anemia	nonspherocytic hemolytic anemia
hp:0001931	hypochromic anemia	hypochromic anemia
hp:0001931	hypochromic anemia	hypochromic anaemia
hp:0001933	subcutaneous hemorrhage	subcutaneous hemorrhage
hp:0001933	subcutaneous hemorrhage	bleeding below the skin
hp:0001934	persistent bleeding after trauma	persistent bleeding after trauma
hp:0001934	persistent bleeding after trauma	excessive bleeding after minor trauma
hp:0001934	persistent bleeding after trauma	frequent bleeding with trauma
hp:0001934	persistent bleeding after trauma	prolonged bleeding after minor trauma
hp:0001935	microcytic anemia	microcytic anemia
hp:0001937	microangiopathic hemolytic anemia	microangiopathic hemolytic anemia
hp:0001939	abnormality of metabolism/homeostasis	abnormality of metabolism/homeostasis
hp:0001939	abnormality of metabolism/homeostasis	laboratory abnormality
hp:0001939	abnormality of metabolism/homeostasis	metabolism abnormality
hp:0001941	acidosis	acidosis
hp:0001941	acidosis	acidemia
hp:0001942	metabolic acidosis	metabolic acidosis
hp:0001943	hypoglycemia	hypoglycemia
hp:0001943	hypoglycemia	hypoglycaemia
hp:0001943	hypoglycemia	low blood sugar
hp:0001944	dehydration	dehydration
hp:0001944	dehydration	dehydration
hp:0001945	fever	fever
hp:0001945	fever	fever
hp:0001945	fever	hyperthermia
hp:0001945	fever	pyrexia
hp:0001946	ketosis	ketosis
hp:0001946	ketosis	high levels of ketone bodies
hp:0001947	renal tubular acidosis	renal tubular acidosis
hp:0001948	alkalosis	alkalosis
hp:0001949	hypokalemic alkalosis	hypokalemic alkalosis
hp:0001950	respiratory alkalosis	respiratory alkalosis
hp:0001951	episodic ammonia intoxication	episodic ammonia intoxication
hp:0001952	abnormal glucose tolerance	abnormal glucose tolerance
hp:0001953	diabetic ketoacidosis	diabetic ketoacidosis
hp:0001953	diabetic ketoacidosis	diabetic ketosis
hp:0001954	episodic fever	episodic fever
hp:0001954	episodic fever	episodic fever
hp:0001954	episodic fever	hyperthermia, episodic
hp:0001954	episodic fever	increased body temperature, episodic
hp:0001954	episodic fever	intermittent fever
hp:0001955	unexplained fevers	unexplained fevers
hp:0001955	unexplained fevers	unexplained fevers
hp:0001956	truncal obesity	truncal obesity
hp:0001956	truncal obesity	centripetal obesity
hp:0001956	truncal obesity	truncal obesity
hp:0001958	nonketotic hypoglycemia	nonketotic hypoglycemia
hp:0001959	polydipsia	polydipsia
hp:0001960	hypokalemic metabolic alkalosis	hypokalemic metabolic alkalosis
hp:0001961	hypoplastic heart	hypoplastic heart
hp:0001961	hypoplastic heart	small heart
hp:0001961	hypoplastic heart	underdeveloped heart
hp:0001962	palpitations	palpitations
hp:0001962	palpitations	heart palpitations
hp:0001962	palpitations	missed heart beat
hp:0001962	palpitations	skipped heart beat
hp:0001962	palpitations	palpitations
hp:0001963	abnormal speech discrimination	abnormal speech discrimination
hp:0001963	abnormal speech discrimination	abnormal speech discrimination
hp:0001963	abnormal speech discrimination	poor speech discrimination
hp:0001964	aplasia/hypoplasia of metatarsal bones	aplasia/hypoplasia of metatarsal bones
hp:0001964	aplasia/hypoplasia of metatarsal bones	absent or hypoplastic metatarsal
hp:0001964	aplasia/hypoplasia of metatarsal bones	absent/hypoplastic metatarsals
hp:0001964	aplasia/hypoplasia of metatarsal bones	aplastic/hypoplastic metatarsals
hp:0001964	aplasia/hypoplasia of metatarsal bones	absent/hypoplastic metacarpals
hp:0001964	aplasia/hypoplasia of metatarsal bones	absent/small long bone of foot
hp:0001964	aplasia/hypoplasia of metatarsal bones	absent/underdeveloped long bone of foot
hp:0001965	abnormality of the scalp	abnormality of the scalp
hp:0001965	abnormality of the scalp	abnormality of the scalp
hp:0001965	abnormality of the scalp	anomaly of scalp
hp:0001966	mesangial abnormality	mesangial abnormality
hp:0001967	diffuse mesangial sclerosis	diffuse mesangial sclerosis
hp:0001967	diffuse mesangial sclerosis	diffuse mesangial sclerosis glomerulopathy
hp:0001967	diffuse mesangial sclerosis	mesangial sclerosis
hp:0001969	tubulointerstitial abnormality	tubulointerstitial abnormality
hp:0001970	tubulointerstitial nephritis	tubulointerstitial nephritis
hp:0001970	tubulointerstitial nephritis	interstitial nephritis
hp:0001970	tubulointerstitial nephritis	nephritis, tubulointerstitial
hp:0001971	hypersplenism	hypersplenism
hp:0001972	macrocytic anemia	macrocytic anemia
hp:0001973	autoimmune thrombocytopenia	autoimmune thrombocytopenia
hp:0001973	autoimmune thrombocytopenia	immune thrombocytopenia
hp:0001973	autoimmune thrombocytopenia	idiopathic thrombocytopenia
hp:0001974	leukocytosis	leukocytosis
hp:0001974	leukocytosis	increased blood leukocyte number
hp:0001974	leukocytosis	high white blood count
hp:0001974	leukocytosis	elevated white blood count
hp:0001975	decreased platelet glycoprotein iib-iiia	decreased platelet glycoprotein iib-iiia
hp:0001975	decreased platelet glycoprotein iib-iiia	reduced level of platelet glycoprotein iib/iiia complex
hp:0001976	reduced antithrombin iii activity	reduced antithrombin iii activity
hp:0001976	reduced antithrombin iii activity	anti-thrombin iii deficiency
hp:0001976	reduced antithrombin iii activity	antithrombin iii deficiency
hp:0001976	reduced antithrombin iii activity	decreased antithrombin iii
hp:0001977	abnormal thrombosis	abnormal thrombosis
hp:0001977	abnormal thrombosis	abnormal blood clot
hp:0001978	extramedullary hematopoiesis	extramedullary hematopoiesis
hp:0001980	megaloblastic bone marrow	megaloblastic bone marrow
hp:0001981	schistocytosis	schistocytosis
hp:0001981	schistocytosis	schistocytes
hp:0001982	sea-blue histiocytosis	sea-blue histiocytosis
hp:0001982	sea-blue histiocytosis	'sea blue' histiocytes
hp:0001982	sea-blue histiocytosis	sea-blue histiocyte
hp:0001983	reduced lymphocyte surface expression of cd43	reduced lymphocyte surface expression of cd43
hp:0001983	reduced lymphocyte surface expression of cd43	cd43 defectively expressed on surface of blood cells
hp:0001983	reduced lymphocyte surface expression of cd43	reduced lymphocyte surface expression of sialophorin
hp:0001984	intolerance to protein	intolerance to protein
hp:0001985	hypoketotic hypoglycemia	hypoketotic hypoglycemia
hp:0001985	hypoketotic hypoglycemia	hypoglycemia, hypoketotic
hp:0001986	hypertonic dehydration	hypertonic dehydration
hp:0001986	hypertonic dehydration	hyperosmolar dehydration
hp:0001987	hyperammonemia	hyperammonemia
hp:0001987	hyperammonemia	high blood ammonia levels
hp:0001988	recurrent hypoglycemia	recurrent hypoglycemia
hp:0001988	recurrent hypoglycemia	hypoglycemic episodes
hp:0001988	recurrent hypoglycemia	recurrent hypoglycaemia
hp:0001988	recurrent hypoglycemia	recurrent hypoglycemic episodes
hp:0001988	recurrent hypoglycemia	hypoglycaemia, recurrent
hp:0001988	recurrent hypoglycemia	hypoglycemia, recurrent
hp:0001988	recurrent hypoglycemia	recurrent low blood sugar levels
hp:0001989	fetal akinesia sequence	fetal akinesia sequence
hp:0001991	aplasia/hypoplasia of toe	aplasia/hypoplasia of toe
hp:0001991	aplasia/hypoplasia of toe	aplastic/hypoplastic toe phalanges
hp:0001991	aplasia/hypoplasia of toe	absent/underdeveloped toe
hp:0001991	aplasia/hypoplasia of toe	absent/small toe
hp:0001992	organic aciduria	organic aciduria
hp:0001993	ketoacidosis	ketoacidosis
hp:0001994	renal fanconi syndrome	renal fanconi syndrome
hp:0001994	renal fanconi syndrome	'de toni-fanconi-debre' syndrome
hp:0001994	renal fanconi syndrome	renal tubular fanconi syndrome
hp:0001995	hyperchloremic acidosis	hyperchloremic acidosis
hp:0001996	chronic metabolic acidosis	chronic metabolic acidosis
hp:0001997	gout	gout
hp:0001997	gout	gouty arthritis
hp:0001998	neonatal hypoglycemia	neonatal hypoglycemia
hp:0001998	neonatal hypoglycemia	low blood sugar in newborn
hp:0001999	abnormal facial shape	abnormal facial shape
hp:0001999	abnormal facial shape	abnormal facial shape
hp:0001999	abnormal facial shape	distinctive facies
hp:0001999	abnormal facial shape	dysmorphic facial features
hp:0001999	abnormal facial shape	dysmorphic facies
hp:0001999	abnormal facial shape	facial dysmorphism
hp:0001999	abnormal facial shape	unusual facial appearance
hp:0001999	abnormal facial shape	unusual facies
hp:0001999	abnormal facial shape	abnormal morphology of the face
hp:0002000	short columella	short columella
hp:0002000	short columella	columella, short
hp:0002000	short columella	decreased length of columella
hp:0002002	deep philtrum	deep philtrum
hp:0002002	deep philtrum	philtrum, deep
hp:0002002	deep philtrum	prominent philtrum
hp:0002002	deep philtrum	increased depth of philtrum
hp:0002002	deep philtrum	pronounced philtrum
hp:0002003	large forehead	large forehead
hp:0002003	large forehead	large forehead
hp:0002003	large forehead	increased size of forehead
hp:0002003	large forehead	increased size of frontal region of face
hp:0002006	facial cleft	facial cleft
hp:0002006	facial cleft	facial cleft
hp:0002006	facial cleft	tessier facial cleft
hp:0002006	facial cleft	cleft of the face
hp:0002007	frontal bossing	frontal bossing
hp:0002007	frontal bossing	skull bossing
hp:0002007	frontal bossing	frontal protruberance
hp:0002009	potter facies	potter facies
hp:0002010	narrow maxilla	narrow maxilla
hp:0002010	narrow maxilla	transverse maxillary insufficiency
hp:0002010	narrow maxilla	transverse hypoplasia of maxilla
hp:0002010	narrow maxilla	narrow upper jaw bones
hp:0002010	narrow maxilla	decreased width of upper jaw bones
hp:0002010	narrow maxilla	decreased breadth of upper jaw bones
hp:0002010	narrow maxilla	transverse maxillary deficiency
hp:0002010	narrow maxilla	decreased transverse dimension of maxilla
hp:0002010	narrow maxilla	decreased width of maxilla
hp:0002011	morphological abnormality of the central nervous system	morphological abnormality of the central nervous system
hp:0002011	morphological abnormality of the central nervous system	abnormality of the central nervous system
hp:0002012	abnormality of the abdominal organs	abnormality of the abdominal organs
hp:0002012	abnormality of the abdominal organs	abnormality of the abdominal organs
hp:0002012	abnormality of the abdominal organs	gastrointestinal tract defects
hp:0002013	vomiting	vomiting
hp:0002013	vomiting	emesis
hp:0002013	vomiting	vomiting
hp:0002013	vomiting	throwing up
hp:0002014	diarrhea	diarrhea
hp:0002014	diarrhea	diarrhea
hp:0002014	diarrhea	diarrhoea
hp:0002014	diarrhea	watery stool
hp:0002015	dysphagia	dysphagia
hp:0002015	dysphagia	poor swallowing
hp:0002015	dysphagia	swallowing difficulties
hp:0002015	dysphagia	swallowing difficulty
hp:0002017	nausea and vomiting	nausea and vomiting
hp:0002017	nausea and vomiting	nausea and vomiting
hp:0002018	nausea	nausea
hp:0002018	nausea	nausea
hp:0002019	constipation	constipation
hp:0002019	constipation	constipation
hp:0002019	constipation	costiveness
hp:0002019	constipation	dyschezia
hp:0002020	gastroesophageal reflux	gastroesophageal reflux
hp:0002020	gastroesophageal reflux	acid reflux disease
hp:0002020	gastroesophageal reflux	gastroesophageal reflux disease
hp:0002020	gastroesophageal reflux	heartburn
hp:0002020	gastroesophageal reflux	acid reflux
hp:0002020	gastroesophageal reflux	gerd
hp:0002021	pyloric stenosis	pyloric stenosis
hp:0002023	anal atresia	anal atresia
hp:0002023	anal atresia	absent anus
hp:0002024	malabsorption	malabsorption
hp:0002024	malabsorption	intestinal malabsorption
hp:0002024	malabsorption	malabsorption
hp:0002025	anal stenosis	anal stenosis
hp:0002025	anal stenosis	narrowing of anal opening
hp:0002027	abdominal pain	abdominal pain
hp:0002027	abdominal pain	abdominal pain
hp:0002027	abdominal pain	pain in stomach
hp:0002027	abdominal pain	stomach pain
hp:0002028	chronic diarrhea	chronic diarrhea
hp:0002028	chronic diarrhea	chronic diarrhea
hp:0002031	abnormal esophagus morphology	abnormal esophagus morphology
hp:0002031	abnormal esophagus morphology	abnormality of esophagus morphology
hp:0002031	abnormal esophagus morphology	anomaly of the esophagus
hp:0002032	esophageal atresia	esophageal atresia
hp:0002033	poor suck	poor suck
hp:0002033	poor suck	poor suck
hp:0002033	poor suck	poor sucking
hp:0002034	abnormality of the rectum	abnormality of the rectum
hp:0002034	abnormality of the rectum	abnormality of the rectum
hp:0002034	abnormality of the rectum	anomaly of the rectum
hp:0002035	rectal prolapse	rectal prolapse
hp:0002036	hiatus hernia	hiatus hernia
hp:0002036	hiatus hernia	hiatal hernia
hp:0002036	hiatus hernia	stomach hernia
hp:0002037	inflammation of the large intestine	inflammation of the large intestine
hp:0002037	inflammation of the large intestine	inflammation of the large intestine
hp:0002038	protein avoidance	protein avoidance
hp:0002039	anorexia	anorexia
hp:0002039	anorexia	anorexia
hp:0002040	esophageal varix	esophageal varix
hp:0002041	intractable diarrhea	intractable diarrhea
hp:0002043	esophageal stricture	esophageal stricture
hp:0002044	zollinger-ellison syndrome	zollinger-ellison syndrome
hp:0002045	hypothermia	hypothermia
hp:0002045	hypothermia	hypothermia
hp:0002045	hypothermia	abnormally low body temperature
hp:0002046	heat intolerance	heat intolerance
hp:0002046	heat intolerance	heat intolerance
hp:0002046	heat intolerance	intolerance to heat and fevers
hp:0002047	malignant hyperthermia	malignant hyperthermia
hp:0002047	malignant hyperthermia	malignant hyperthermia with anesthesia
hp:0002048	renal cortical atrophy	renal cortical atrophy
